Institution,STATE,Type,Med,LG,Mean_PCI,Latest_PCI,Latest_Year,N,Tone,Clarity,Legal
Kansas State University,KS,Public R1,N,Y,0.3734736578915663,0.3734736578915663,2002,1,0.2359201769986328,0.4524597930251253,-0.7057685174971609
Washington State University,WA,Public R1,Y,Y,0.37347919850573924,0.4082967147891003,2023,3,0.017425494832293997,0.5141349881833154,-0.29103110160842594
University of Alabama in Huntsville (UAH),AL,Public R2,N,N,0.3735803258720095,0.3687189112894737,2018,2,-0.44602673094352097,-0.5881137980602492,1.42327574271597
University of Maryland College Park,MD,Public R1,Y,Y,0.3744481563356481,0.3744481563356481,2018,1,-0.4957002453308692,-0.0745061479591052,-0.8560711789096203
University of North Dakota,ND,Public R1,Y,N,0.37639266912294445,0.3231680172282609,2013,3,-0.18656822731691025,0.04232697597113233,0.6484967771505905
University of Arizona,AZ,Public R1,Y,Y,0.37673366041157064,0.3203766225769021,2018,10,-0.016128101268730384,-0.5600262611830364,-0.18202349584122163
University of Washington,WA,Public R1,Y,N,0.37682492506451765,0.3454321187907079,2025,3,-0.12510960859707626,0.05735881811024649,-0.22655278545446134
Louisiana State University,LA,Public R1,Y,Y,0.378565600397591,0.3663970314863013,2024,8,-0.8399913630738314,-0.8465674226884321,-0.08579283725610724
Medical College of Ohio,OH,Public R2,Y,N,0.37887453585720426,0.3319578389916666,2024,5,0.22035023050371808,-0.6246049870780007,1.3173831431385743
University of Rhode Island,RI,Public R1,N,Y,0.3794490349243951,0.3765426729442307,2021,3,-0.4599749585941955,0.36997414095922015,-0.3948811860414416
Utah State University,UT,Public R2,N,Y,0.383782218952726,0.4271218243224637,2016,3,-0.03061954850643683,0.35783725731216015,0.5729563703606267
University of Minnesota,MN,Public R1,Y,Y,0.38694406092469996,0.4083264411893204,2022,3,-0.24629023841373898,-0.8136557012633364,-0.7118397133469928
Ohio University,OH,Public R1,Y,N,0.3872931926714286,0.3872931926714286,1995,1,-0.3920443130216524,0.6099166017470519,0.0064138414646669
Baylor College of Medicine,TX,Private R1,Y,N,0.3873179693556167,0.3060135322612334,2001,2,0.1124144411802771,0.3219625206742267,0.2782366525723224
University of Akron,OH,Public R2,Y,N,0.38837547269967465,0.415608512281884,2015,3,0.016753742766576634,-0.21876173149905154,-0.7652799800223958
University of Maryland Baltimore,MD,Public R1,Y,N,0.3895609590845154,0.3957172360705128,2019,5,-0.24801683175726455,0.4644794357176053,-0.4181270466436122
University of Connecticut,CT,Public R1,Y,Y,0.3906272328893939,0.3906272328893939,2015,1,0.5583929167819589,0.0502470904105216,-0.2834997893491356
University of Colorado,CO,Public R1,Y,N,0.3907484221937125,0.3907484221937125,2011,1,0.1544671723371663,0.1456018977666312,-0.8669714323239444
University of Massachusetts Amherst,MA,Public R1,Y,Y,0.3920671682182282,0.3911196566201299,2004,2,-0.29354485649083123,0.01848937176866665,-0.2482967876953267
University of Massachusetts Medical Center,MA,Public R2,Y,N,0.3924326257071973,0.3924257088646496,2004,2,-0.2905390205322611,0.04210776194363581,-0.2456407043614427
Montana State University,MT,Public R1,N,Y,0.3941964798088657,0.4088312334662162,2017,2,-0.0113896567679478,-0.21464595559513275,-0.08169564899620774
University of Maryland Baltimore County,MD,Public R1,Y,N,0.3949405870960756,0.3806416908869565,2022,2,-0.3925289783103787,0.3585111389295272,-0.7402474579544072
East Carolina University,NC,Public R1,Y,N,0.39546132531440437,0.4044898749625,2021,3,0.06947533454421652,-0.08011781813833084,1.0492292995259271
University of Vermont,MA,Public R1,Y,Y,0.3979000708749999,0.3979000708749999,2013,1,-0.2325220501602931,-0.4097673063618166,0.1094769075727417
University of Houston,TX,Public R1,Y,N,0.39926724512904477,0.372070050270045,2023,5,-0.3622076510809947,0.18447728260255275,-0.6723510952087262
University of Louisville,KY,Public R1,Y,N,0.399737687020719,0.4076041036191406,2005,2,-0.40364152836360234,0.2222498728383627,-0.3271598430138904
University of Idaho,ID,Public R1,Y,Y,0.4002467139779963,0.3923209794870689,2022,3,-0.34426809289037985,0.14571683579909325,-0.2947600088875359
Miami University,OH,Public R2,Y,N,0.40042096315258047,0.3972497318203125,2022,2,-0.05597872913649195,-0.42916054279284455,-0.2806132412844161
University of Miami,FL,Private R1,Y,N,0.401614503673645,0.3968046103850575,2016,2,-0.15676259627691141,0.4410415341451265,-0.941513385871472
University of Oklahoma,OK,Public R1,Y,N,0.40258000757269724,0.4071027908083333,2017,3,-0.40734528315478896,-0.23309122447996522,0.055615834228560396
Wayne State University,MI,Public R1,Y,N,0.4035341782106917,0.4035341782106917,1998,1,0.1034074370622788,0.5106410962611111,0.3613324913890479
Rutgers the State University of NJ,NJ,Public R1,Y,Y,0.40385131885211567,0.4188441860776699,2021,5,0.2254003714864652,0.1443992538583294,-0.3369510445416794
California Institute of Technology,CA,Private R1,Y,N,0.40463811839474495,0.4689234790096618,2023,10,0.17918768671910448,-0.2092269082612883,0.28803557665994195
Virginia Commonwealth University,VA,Public R1,Y,N,0.40487597134283876,0.4035909991249999,2021,3,-0.07780780327687888,0.0011952927697188493,-0.5789219187318028
Illinois State University,IL,Public R2,N,N,0.4058256172809824,0.4759612672275281,2024,4,0.03534743723382612,-0.028054479282576233,-0.2640873606335554
Purdue University,IN,Public R1,Y,Y,0.40790106268838894,0.4127294278652174,2025,8,0.436628864725166,0.0017487960790715795,-0.378430023077412
University of Hawaii,HI,Public R1,Y,Y,0.4094777924740816,0.3819389523513513,2020,3,-0.1978697607370872,-0.8398124202936074,0.29127165683733414
University of North Texas,TX,Public R1,Y,N,0.4101392382868103,0.3959899721238937,2018,4,-0.2614922771835284,0.209861691672888,0.2100655064561977
University of Utah,UT,Public R1,Y,N,0.410701093927093,0.40620785886,2013,2,0.2523474876494029,-0.19145701985815194,-0.15517167137040822
Colorado State University,CO,Public R1,N,Y,0.4116877744830526,0.4983312955396825,2007,2,0.1086334046507294,0.1016396828364086,0.2605341738297869
